Date,MA,Upper_Band,Lower_Band
2022-07-08,82.404999923705,98.80031129049965,66.00968855691036
2022-07-11,81.58499984741,96.61693474861829,66.55306494620172
2022-07-12,81.15999984740999,96.1230287902751,66.19697090454488
2022-07-13,81.579999923705,95.61988358600449,67.54011626140552
2022-07-14,81.75,95.4354133415456,68.0645866584544
2022-07-15,81.72000007629501,95.41311826569118,68.02688188689883
2022-07-18,82.285000228885,94.73080312758881,69.83919733018118
2022-07-19,83.095000076295,94.95425810662327,71.23574204596672
2022-07-20,83.925,96.60733266619403,71.24266733380597
2022-07-21,85.085000228885,99.6310830545962,70.53891740317378
2022-07-22,85.58500022888501,100.45528470125298,70.71471575651704
2022-07-25,85.38000030518,99.91758860605862,70.8424120043014
2022-07-26,84.925,99.11615714800246,70.73384285199754
2022-07-27,85.64499969482,100.60874134442467,70.68125804521533
2022-07-28,86.41499938964,102.00896183524176,70.82103694403824
2022-07-29,87.58999938964,103.5748470587522,71.6051517205278
2022-08-01,88.68499946593501,105.01582640401557,72.35417252785444
2022-08-02,89.394999313345,106.34737571252859,72.4426229141614
2022-08-03,90.52499923705,109.40031091327481,71.64968756082519
2022-08-04,91.45499916075501,112.60215119580465,70.30784712570536
2022-08-05,92.094999313345,114.15582294327422,70.03417568341578
2022-08-08,93.279999160755,115.15058589894106,71.40941242256893
2022-08-09,94.40499916075501,115.18894833581503,73.621049985695
2022-08-10,96.04999923705,116.57320910844919,75.52678936565081
2022-08-11,97.679999160755,116.79556017466766,78.56443814684235
2022-08-12,99.479999160755,118.60348786870571,80.35651045280429
2022-08-15,101.36999893187,120.18937463123227,82.55062323250773
2022-08-16,102.74999923704999,121.70473945267841,83.79525902142157
2022-08-17,103.54999923705,122.42460075006149,84.67539772403852
2022-08-18,104.054999160755,123.21443998573798,84.89555833577202
2022-08-19,104.63499908445999,123.02106821499449,86.2489299539255
2022-08-22,104.95999908446,122.39504122083216,87.52495694808783
2022-08-23,105.604999160755,120.40606394313673,90.80393437837327
2022-08-24,105.74999923704999,120.2161497864565,91.28384868764348
2022-08-25,106.31499938964001,120.1623296603001,92.46766911897991
2022-08-26,106.02999954223,120.63830331396191,91.42169577049809
2022-08-29,105.57999954223001,121.43295541797438,89.72704366648564
2022-08-30,104.87999954223001,122.9290090056446,86.83099007881542
2022-08-31,103.774999618525,123.51743296793796,84.03256626911204
2022-09-01,102.49499969482,123.30981884423997,81.68018054540002
2022-09-02,101.28499984740999,124.08336160899907,78.48663808582091
2022-09-06,99.98499984741001,125.05544930517121,74.91455038964881
2022-09-07,99.13499984741,125.30346387184166,72.96653582297834
2022-09-08,97.75499992370501,124.22042635885835,71.28957348855168
2022-09-09,96.80999984741,122.9170582107657,70.70294148405429
2022-09-12,95.68499984741,120.08467810085517,71.28532159396482
2022-09-13,93.545000076295,116.97062425933117,70.11937589325882
2022-09-14,91.6,113.47918831638994,69.72081168361005
2022-09-15,89.88000030518,110.82570319705226,68.93429741330775
2022-09-16,88.04000015259001,107.43390979318885,68.64609051199118
2022-09-19,86.70500030518001,105.06335900880674,68.34664160155327
2022-09-20,85.70000038147501,104.20814868865901,67.191852074291
2022-09-21,84.390000534065,103.49788202653416,65.28211904159583
2022-09-22,82.815000534065,102.01031532232258,63.61968574580743
2022-09-23,80.58000049592,97.72846733398862,63.43153365785138
2022-09-26,78.985000419625,96.6855831237207,61.28441771552929
2022-09-27,77.54000034333001,95.71961806481039,59.360382621849624
2022-09-28,76.660000419625,94.90066013033614,58.41934070891388
2022-09-29,75.400000381475,94.27811292457478,56.52188783837521
2022-09-30,74.04000015259,93.52120769199323,54.55879261318676
2022-10-03,73.035000038145,93.00690299572477,53.06309708056523
2022-10-04,72.49500026703,92.51977086071693,52.470229673343056
2022-10-05,71.63500041962,91.19600032458898,52.07400051465102
2022-10-06,70.740000343325,89.68194949637777,51.79805119027222
2022-10-07,69.05000057221,86.66643992120304,51.433561223216955
2022-10-10,67.0650007248,81.44646197942883,52.683539470171176
2022-10-11,65.755000495915,81.49519081181123,50.01481018001877
2022-10-12,64.37000045776499,80.66092155500405,48.079079360525924
2022-10-13,63.19000034332,79.25983444992687,47.120166236713125
2022-10-14,61.79000034331999,78.53878225467511,45.041218431964865
2022-10-17,60.59000034332,75.98376579472738,45.196234891912624
2022-10-18,59.50000038146501,73.46989339458484,45.53010736834518
2022-10-19,58.685000228875005,71.98609294234686,45.38390751540316
2022-10-20,57.930000305170005,70.80790554870272,45.05209506163728
2022-10-21,57.565000343315,70.21382487490995,44.91617581172005
2022-10-24,57.080000305164994,69.69204219827435,44.467958412055644
2022-10-25,56.81000022886999,69.17121367318465,44.448786784555324
2022-10-26,56.08500022886999,67.3336314556625,44.836369002077475
2022-10-27,55.39000015258,67.01916590176117,43.76083440339884
2022-10-28,54.86500015258,66.73451565151323,42.99548465364677
2022-10-31,54.121000099175,66.18241940863642,42.05958078971358
2022-11-01,53.015500068655,64.1637053224211,41.86729481488891
2022-11-02,51.711499977100004,62.561951227180884,40.861048727019124
2022-11-03,50.34499988554499,60.81397554413161,39.87602422695838
2022-11-04,49.561999893175,60.45795336510754,38.666046421242456
2022-11-07,48.91649990080499,60.130645576535706,37.70235422507428
2022-11-08,48.513999938954996,60.19307783799531,36.83492203991468
2022-11-09,47.895999908440004,60.57600721570184,35.215992601178165
2022-11-10,47.645999908440004,60.122734228879104,35.169265588000904
2022-11-11,47.911499977105,60.5198100390652,35.303189915144806
2022-11-14,47.831500053400006,60.31014585358696,35.35285425321305
2022-11-15,47.99699993133,60.88446083407702,35.10953902858299
2022-11-16,47.99449996948,60.87740307555636,35.11159686340365
2022-11-17,48.05349998474,61.0337232218039,35.0732767476761
2022-11-18,47.813500022885,60.344816857286105,35.2821831884839
2022-11-21,47.5875,59.909033956004095,35.2659660439959
2022-11-22,47.239999961855,58.813104591033294,35.6668953326767
2022-11-23,47.22099990845,58.752002817948785,35.68999699895121
2022-11-25,47.384499931335,59.01254268644814,35.75645717622186
2022-11-28,47.38299999237,59.0103902954014,35.755609689338606
2022-11-29,47.514500045775,59.15075601337527,35.87824407817473
2022-11-30,48.260000038145,61.017740961129064,35.50225911516094
2022-12-01,49.295500183105005,62.55506167639632,36.03593868981369
2022-12-02,50.50500011444,63.865857408970406,37.1441428199096
2022-12-05,51.45599994659,64.59610484929262,38.31589504388737
2022-12-06,52.159999847405004,64.5385700420124,39.78142965279762
2022-12-07,52.781999969474995,64.12244330075579,41.44155663819419
2022-12-08,53.815999984735,62.74230683173924,44.88969313773076
2022-12-09,54.31899986266501,62.922114720945416,45.7158850043846
2022-12-12,54.59849987029501,63.23523421564272,45.961765524947296
2022-12-13,55.04299983977499,64.00395365582129,46.082046023728694
2022-12-14,55.157999992365,64.28277842083662,46.03322156389338
2022-12-15,55.041500091545004,64.31106812622264,45.77193205686737
2022-12-16,54.84999999999,64.39223626591081,45.307763734069184
2022-12-19,54.63050003051001,64.71293160114955,44.548068459870464
2022-12-20,54.544000053394996,64.88579315791497,44.202206948875016
2022-12-21,54.51300010680001,64.91505437844027,44.11094583515973
2022-12-22,54.04750022887,65.49295815557771,42.60204230216229
2022-12-23,53.71350021361,65.94885538754498,41.478145039675006
2022-12-27,53.273000144945,66.84896507806222,39.69703521182778
2022-12-28,52.75500011442999,67.74266590541393,37.76733432344605
